ORF.1	ORF.2
YMR054W	YLR027C
YER136W	YER020W
YBL051C	YBR077C
YIL070C	YGL242C
YPR156C	YPR079W
YHR142W	YLR033W
YGL213C	YMR058W
YLR172C	YGL048C
YMR312W	YFL038C
YMR096W	YGR121C
YML031W	YPR072W
YJR133W	YKL078W
YDR100W	YFR001W
YBR077C	YGR284C
YOR261C	YNL283C
YMR010W	YBR004C
YGR229C	YBL011W
YIL048W	YOL012C
YIL035C	YHL007C
YDR385W	YEL051W
YGL049C	YKL190W
YML055W	YOR133W
YLR324W	YEL013W
YLR350W	YIR012W
YOR145C	YFL041W
YMR109W	YBR256C
YOR370C	YLR347C
YML121W	YGR121C
YPL265W	YJR068W
YOR204W	YDL135C
YJR076C	YLR110C
YER056C	YGR065C
YDL182W	YDR381C-A
YNL238W	YDL165W
YHL029C	YHR121W
YER159C	YBR006W
YCR030C	YMR250W
YGL001C	YNL265C
YDR032C	YFL047W
YKR092C	YDR034W-B
YMR004W	YGR130C
YDR189W	YKL057C
YML016C	YPR036W
YLR347C	YOR153W
YDL029W	YDR397C
YGL043W	YDL235C
YBR130C	YJL178C
YLR144C	YDL125C
YBR068C	YGR250C
YOR132W	YKL193C
YDR105C	YNR052C
YDR068W	YLR347C
YGL120C	YOR145C
YFR040W	YGL029W
YJR117W	YDR385W
YHR096C	YBR102C
YNL091W	YOR054C
YHR052W	YBR212W
YOR165W	YDR427W
YKR088C	YKL165C
YPR189W	YOR261C
YER063W	YOR204W
YBR288C	YHR039C
YIL068C	YLR196W
YDR284C	YKL165C
YBL029C-A	YEL002C
YJR117W	YOR109W
YHR142W	YNL112W
YML058W-A	YFR024C-A
YKR058W	YDR092W
YBL017C	YPL178W
YHR196W	YIL105C
YGR130C	YIL035C
YGR048W	YNL106C
YOR042W	YIR001C
YBL056W	YNR035C
YPR184W	YML106W
YPR016C	YKR080W
YOR326W	YGR060W
YDR238C	YPL058C
YBR283C	YBL033C
YMR292W	YDR068W
YKL172W	YDL113C
YGL206C	YJL117W
YKL165C	YLR324W
YKR003W	YNL255C
YGR250C	YNL130C
YGR187C	YGR138C
YDR427W	YML018C
YGR159C	YGR065C
YJL148W	YKL171W
YDR398W	YKL145W
YDL131W	YGR250C
YJR117W	YJL006C
YDR011W	YDL192W
YLR330W	YER159C
YGL012W	YOR095C
YBL017C	YGR191W
YDR202C	YNR053C
YKL080W	YIL070C
YCR075C	YDR352W
YHR001W	YNR031C
YOR229W	YCL039W
YML038C	YDR398W
YMR105C	YDL088C
YNR053C	YGL206C
YLR397C	YPL263C
YDR436W	YDL165W
YPL101W	YPR128C
YDR501W	YGR284C
YMR139W	YML094W
YGL195W	YIL062C
YOR054C	YKL057C
YBR288C	YMR134W
YDR152W	YGL077C
YGL137W	YLR028C
YBL011W	YCR028C-A
YHR108W	YLR420W
YML057W	YDR011W
YLR449W	YHR012W
YMR152W	YIL038C
YPL004C	YLR181C
YAR002W	YHR001W
YFL041W	YKR058W
YIL138C	YML121W
YPL058C	YKL145W
YKL130C	YOR104W
YBR009C	YMR255W
YML017W	YFR051C
YER126C	YNL007C
YMR229C	YOR104W
YFR024C-A	YER020W
YDR434W	YDL131W
YHR074W	YDR331W
YMR105C	YLR337C
YML075C	YFL005W
YMR058W	YGL049C
YDL047W	YIL138C
YKL068W	YGR271W
YDR152W	YDR515W
YGR121C	YGL108C
YDL182W	YDR100W
YLR330W	YML101C
YGL043W	YGL212W
YOR153W	YPR075C
YGR178C	YLR420W
YJR042W	YMR149W
YHR027C	YPL043W
YMR011W	YLR133W
YDR101C	YPL006W
YJR042W	YCR009C
YJL061W	YDR202C
YOR323C	YDR166C
YER023W	YDR092W
YKR092C	YIL009W
YML018C	YDL100C
YLR413W	YOL012C
YER166W	YIL043C
YAR002C-A	YHR098C
YFR021W	YGR229C
YER056C	YGR020C
YJL153C	YML016C
YCR093W	YDL199C
YMR229C	YDL019C
YKL094W	YHL011C
YHL029C	YMR312W
YPL043W	YNL322C
YIR038C	YBL007C
YMR047C	YFL036W
YNL214W	YEL013W
YOR259C	YMR058W
YPR075C	YMR080C
YPL006W	YFL047W
YMR292W	YKR071C
YHR170W	YBL017C
YER052C	YMR152W
YER113C	YNL186W
YGR078C	YNL106C
YOL100W	YMR231W
YLR248W	YDR517W
YNR051C	YLR172C
YGR250C	YLR270W
YNR035C	YKR048C
YNL135C	YJL053W
YMR093W	YKL002W
YKL159C	YHL011C
YER090W	YGR128C
YGR191W	YKL054C
YML106W	YBL039C
YLL021W	YLR449W
YBL029C-A	YML056C
YPR129W	YOR204W
YGL242C	YPL119C
YLR371W	YDR060W
YHR187W	YGR005C
YHR063C	YMR058W
YER023W	YNL197C
YHR016C	YDR385W
YGR103W	YNL190W
YDR427W	YOR039W
YBR214W	YJL178C
YGR065C	YBR222C
YLR033W	YBR177C
YHR207C	YER090W
YCR009C	YGR037C
YLR262C	YHR133C
YBR080C	YGR277C
YMR054W	YDR101C
YGR121C	YKL096W-A
YBL011W	YHR158C
YLR270W	YOR095C
YNL135C	YLL021W
YDR100W	YDL212W
YOR362C	YPR113W
YBR052C	YIL127C
YML012W	YKL140W
YJL153C	YGR128C
YER023W	YKL094W
YLR324W	YOR316C
YAL041W	YDL019C
YHR074W	YHR108W
YGL049C	YPR072W
YMR152W	YGR054W
YKL130C	YJR133W
YDR264C	YER068W
YBR283C	YJL164C
YAL026C	YHR188C
YLR371W	YNL243W
YLL034C	YPL116W
YDR264C	YML017W
YPR129W	YFL048C
YDR486C	YGR191W
YPR105C	YMR229C
YNL288W	YOR341W
YJR010W	YDR264C
YMR004W	YIL124W
YBR155W	YDR363W-A
YLL028W	YHR123W
YKL181W	YPL195W
YNL287W	YJL153C
YOR004W	YML031W
YHR175W	YBR288C
YOR095C	YDR385W
YJL006C	YDR427W
YGL049C	YDR320C
YOR104W	YBR006W
YGR119C	YMR250W
YML018C	YOR133W
YGL020C	YMR269W
YNL290W	YHR098C
YNL130C	YBR154C
YOR104W	YJL153C
YGR229C	YJR076C
YHR094C	YER023W
YBL017C	YPL004C
YBR004C	YGR054W
YLR006C	YPR139C
YDL052C	YPL186C
YMR250W	YNL322C
YOR229W	YOR004W
YCL055W	YDL225W
YGL137W	YDL125C
YHR187W	YMR125W
YKL145W	YBL011W
YFR003C	YPL227C
YNL030W	YKR080W
YJL117W	YJL192C
YHR083W	YBL071W-A
YNR006W	YAL053W
YPL094C	YGL213C
YDR321W	YLR083C
YML072C	YML017W
YBR106W	YGL029W
YIR001C	YLR172C
YJL036W	YLL043W
YLR347C	YHR083W
YKR071C	YDR101C
YDL113C	YPR016C
YGR261C	YDR398W
YOL061W	YER023W
YDL058W	YGR284C
YNL238W	YML121W
YDL215C	YDR162C
YNR031C	YMR093W
YCR030C	YML106W
YPR113W	YAL029C
YLR337C	YGR163W
