ORF.1	ORF.2
YJR010W	YJR010W
YLR432W	YML056C
YGL055W	YGL055W
YGR055W	YGR055W
YPR113W	YPR113W
YER052C	YNL135C
YPL246C	YPL246C
YKL067W	YKL067W
YDL192W	YHR094C
YNL138W	YNL138W
YGR159C	YNL112W
YDR152W	YGL195W
YDL125C	YDL125C
YNL247W	YNL247W
YGR284C	YML012W
YOR270C	YPR036W
YJR060W	YJR060W
YLR378C	YPL094C
YPR062W	YPR062W
YLR113W	YLR248W
YJL151C	YPL145C
YBR009C	YNL030W
YFR024C-A	YOR042W
YKL145W	YOR259C
YDL052C	YJL151C
YGL203C	YGR055W
YKL002W	YKL002W
YIL034C	YIL034C
YML012W	YOR016C
YDL029W	YDR063W
YOL061W	YOL061W
YJL192C	YPL058C
YKR072C	YML016C
YGR105W	YGR106C
YGR060W	YJL117W
YGR277C	YPL145C
YLR447C	YOR270C
YGR106C	YPR036W
YDR497C	YLR332W
YGL043W	YGL070C
YER068W	YIL038C
YOR117W	YOR259C
YJL117W	YMR134W
YBR106W	YPR156C
YCR043C	YDR503C
YDL212W	YGR191W
YGR250C	YIR001C
YJL068C	YJL068C
YBR106W	YIL027C
YDR497C	YPL058C
YBR006W	YBR006W
YBR207W	YFL041W
YMR261C	YMR261C
YBL068W	YKL181W
YCR095C	YHL029C
YLL028W	YPL058C
YBR222C	YBR222C
YML072C	YML072C
YHR001W	YKR003W
YCR093W	YNL288W
YDL123W	YKR007W
YDL147W	YOR261C
YGL019W	YOR039W
YER145C	YPL058C
YCR009C	YDR388W
YNL255C	YNR051C
YDR032C	YLR237W
YDL123W	YPL145C
YBR155W	YGR187C
YAR002C-A	YBR106W
YOR326W	YOR326W
YBR207W	YGR020C
YFR003C	YKL193C
YDL123W	YPR036W
YLR258W	YLR258W
YBL011W	YBR002C
YHR001W	YLR332W
YGL019W	YIL035C
YGL014W	YNL016W
YKL041W	YKL041W
YCR028C-A	YLR332W
YML072C	YPL058C
YER112W	YNL016W
YGR229C	YLR330W
YKL088W	YOR054C
YER112W	YPR129W
YML016C	YOR054C
YGR060W	YLR350W
YCR093W	YPR072W
YDR032C	YER145C
YBR267W	YGL099W
YBR207W	YEL051W
YDR398W	YGR128C
YMR149W	YPL087W
YNL118C	YPR129W
YDR329C	YPL112C
YJL178C	YPL246C
YDL047W	YFR040W
YGR054W	YGR054W
YER006W	YGL029W
YNL265C	YNL265C
YIL027C	YJL192C
YAR002C-A	YLR350W
YOR273C	YPL058C
YJL151C	YPR139C
YDR100W	YDR264C
YIL115C	YMR047C
YPL004C	YPL221W
YDL212W	YIL027C
YKR007W	YML121W
YDR129C	YIL062C
YGR060W	YPL246C
YLR384C	YPL101W
YDL123W	YOR069W
YOL147C	YPR128C
YGR229C	YLR332W
YGL087C	YMR140W
YHR089C	YOR004W
YGR229C	YOR104W
YDR129C	YNL138W
YAL053W	YDR497C
YML072C	YPR156C
YLR350W	YOR016C
YDL052C	YIL124W
YAL053W	YOR104W
YOR069W	YOR132W
YGR159C	YHR089C
YLR170C	YPR029C
YHR089C	YOR341W
YJL151C	YKR007W
YGR284C	YML016C
YML012W	YML016C
YBR009C	YNL031C
YDL052C	YKL094W
YGR128C	YMR093W
YML086C	YMR120C
YJL061W	YMR047C
YDR507C	YKR048C
YBR283C	YOR016C
YKL051W	YPL058C
YBR216C	YML007W
YKL190W	YML057W
YBL071W-A	YPL086C
YGR280C	YHR072W-A
